S (m),X Coordinate (m),Y Coordinate (m),Z Coordinate (m),Temperature (°C),Time (s)
8.33E-02,-8.33E-02,0,0,1.70E-07,0.1
8.75E-02,-8.75E-02,0,0,-1.99E-07,0.1
9.17E-02,-9.17E-02,0,0,-3.97E-08,0.1
9.58E-02,-9.58E-02,0,0,9.02E-08,0.1
0.1,-0.1,0,0,6.06E-08,0.1
0.10417,-0.10417,0,0,-8.61E-08,0.1
0.10833,-0.10833,0,0,-5.52E-08,0.1
0.1125,-0.1125,0,0,4.66E-08,0.1
0.11667,-0.11667,0,0,3.23E-08,0.1
0.12083,-0.12083,0,0,-1.73E-08,0.1
0.125,-0.125,0,0,-1.39E-08,0.1
0.12917,-0.12917,0,0,4.54E-09,0.1
0.13333,-0.13333,0,0,3.80E-09,0.1
0.1375,-0.1375,0,0,-7.64E-10,0.1
0.14167,-0.14167,0,0,1.42E-10,0.1
0.14583,-0.14583,0,0,6.60E-11,0.1
0.15,-0.15,0,0,-1.04E-09,0.1
0.15417,-0.15417,0,0,-5.99E-11,0.1
0.15833,-0.15833,0,0,8.51E-10,0.1
0.1625,-0.1625,0,0,7.20E-11,0.1
0.16667,-0.16667,0,0,-4.81E-10,0.1
0.17083,-0.17083,0,0,-4.40E-11,0.1
0.175,-0.175,0,0,2.08E-10,0.1
0.17917,-0.17917,0,0,7.92E-12,0.1
0.18333,-0.18333,0,0,-6.64E-11,0.1
0.1875,-0.1875,0,0,1.47E-11,0.1
0.19167,-0.19167,0,0,1.20E-11,0.1
0.19583,-0.19583,0,0,-2.43E-11,0.1
0.2,-0.2,0,0,2.66E-25,0.1
0,0,0,0,500,0.2
4.17E-03,-4.17E-03,0,0,203.16,0.2
8.33E-03,-8.33E-03,0,0,48.397,0.2
1.25E-02,-1.25E-02,0,0,8.2713,0.2
1.67E-02,-1.67E-02,0,0,0.78362,0.2
2.08E-02,-2.08E-02,0,0,0.63252,0.2
2.50E-02,-2.50E-02,0,0,-5.63E-02,0.2
2.92E-02,-2.92E-02,0,0,3.69E-02,0.2
3.33E-02,-3.33E-02,0,0,5.12E-03,0.2
3.75E-02,-3.75E-02,0,0,-1.31E-04,0.2
4.17E-02,-4.17E-02,0,0,1.08E-03,0.2
4.58E-02,-4.58E-02,0,0,-8.38E-05,0.2
5.00E-02,-5.00E-02,0,0,2.63E-05,0.2
5.42E-02,-5.42E-02,0,0,-6.03E-06,0.2
5.83E-02,-5.83E-02,0,0,-2.61E-05,0.2
6.25E-02,-6.25E-02,0,0,1.24E-05,0.2
6.67E-02,-6.67E-02,0,0,5.91E-07,0.2
7.08E-02,-7.08E-02,0,0,-1.06E-06,0.2
7.50E-02,-7.50E-02,0,0,-9.01E-07,0.2
7.92E-02,-7.92E-02,0,0,4.30E-07,0.2
8.33E-02,-8.33E-02,0,0,2.72E-07,0.2
8.75E-02,-8.75E-02,0,0,-1.23E-07,0.2
9.17E-02,-9.17E-02,0,0,-6.37E-08,0.2
9.58E-02,-9.58E-02,0,0,2.09E-08,0.2
0.1,-0.1,0,0,1.72E-08,0.2
0.10417,-0.10417,0,0,-3.94E-09,0.2
0.10833,-0.10833,0,0,-4.04E-09,0.2
0.1125,-0.1125,0,0,-8.13E-12,0.2
0.11667,-0.11667,0,0,7.75E-10,0.2
0.12083,-0.12083,0,0,1.38E-10,0.2
0.125,-0.125,0,0,-1.64E-10,0.2
0.12917,-0.12917,0,0,-6.46E-11,0.2
0.13333,-0.13333,0,0,3.05E-11,0.2
0.1375,-0.1375,0,0,1.03E-11,0.2
0.14167,-0.14167,0,0,-1.77E-11,0.2
0.14583,-0.14583,0,0,-5.12E-12,0.2
0.15,-0.15,0,0,7.25E-12,0.2
0.15417,-0.15417,0,0,9.71E-13,0.2
0.15833,-0.15833,0,0,-4.04E-12,0.2
0.1625,-0.1625,0,0,-1.08E-12,0.2
0.16667,-0.16667,0,0,9.15E-13,0.2
0.17083,-0.17083,0,0,1.26E-13,0.2
0.175,-0.175,0,0,-2.05E-13,0.2
0.17917,-0.17917,0,0,-8.43E-14,0.2
0.18333,-0.18333,0,0,-1.92E-13,0.2
0.1875,-0.1875,0,0,-1.03E-13,0.2
0.19167,-0.19167,0,0,7.37E-14,0.2
0.19583,-0.19583,0,0,4.84E-14,0.2
0.2,-0.2,0,0,-2.91E-28,0.2
0,0,0,0,500,0.5
4.17E-03,-4.17E-03,0,0,305.52,0.5
8.33E-03,-8.33E-03,0,0,159.58,0.5
1.25E-02,-1.25E-02,0,0,63.895,0.5
1.67E-02,-1.67E-02,0,0,19.427,0.5
2.08E-02,-2.08E-02,0,0,6.2497,0.5
2.50E-02,-2.50E-02,0,0,1.1471,0.5
2.92E-02,-2.92E-02,0,0,0.47983,0.5
3.33E-02,-3.33E-02,0,0,6.22E-02,0.5
3.75E-02,-3.75E-02,0,0,3.28E-02,0.5
4.17E-02,-4.17E-02,0,0,3.50E-03,0.5
4.58E-02,-4.58E-02,0,0,2.12E-03,0.5
5.00E-02,-5.00E-02,0,0,2.01E-04,0.5
5.42E-02,-5.42E-02,0,0,1.31E-04,0.5
5.83E-02,-5.83E-02,0,0,1.06E-05,0.5
6.25E-02,-6.25E-02,0,0,7.89E-06,0.5
6.67E-02,-6.67E-02,0,0,9.41E-07,0.5
7.08E-02,-7.08E-02,0,0,6.09E-07,0.5
7.50E-02,-7.50E-02,0,0,4.08E-08,0.5
7.92E-02,-7.92E-02,0,0,-4.15E-08,0.5
8.33E-02,-8.33E-02,0,0,-1.85E-09,0.5
8.75E-02,-8.75E-02,0,0,2.23E-08,0.5
9.17E-02,-9.17E-02,0,0,3.98E-09,0.5
9.58E-02,-9.58E-02,0,0,-6.39E-09,0.5
0.1,-0.1,0,0,-1.70E-09,0.5
0.10417,-0.10417,0,0,1.55E-09,0.5
0.10833,-0.10833,0,0,5.17E-10,0.5
0.1125,-0.1125,0,0,-3.49E-10,0.5
0.11667,-0.11667,0,0,-1.80E-10,0.5
0.12083,-0.12083,0,0,5.24E-11,0.5
0.125,-0.125,0,0,4.26E-11,0.5
0.12917,-0.12917,0,0,-1.23E-11,0.5
0.13333,-0.13333,0,0,-1.51E-11,0.5
0.1375,-0.1375,0,0,-6.02E-13,0.5
0.14167,-0.14167,0,0,2.58E-12,0.5
0.14583,-0.14583,0,0,-3.51E-13,0.5
0.15,-0.15,0,0,-1.24E-12,0.5
0.15417,-0.15417,0,0,-3.69E-13,0.5
0.15833,-0.15833,0,0,7.04E-14,0.5
0.1625,-0.1625,0,0,-4.41E-14,0.5
0.16667,-0.16667,0,0,-1.21E-13,0.5
0.17083,-0.17083,0,0,-6.24E-14,0.5
0.175,-0.175,0,0,-1.65E-14,0.5
0.17917,-0.17917,0,0,-1.45E-14,0.5
0.18333,-0.18333,0,0,-1.70E-14,0.5
0.1875,-0.1875,0,0,-1.09E-14,0.5
0.19167,-0.19167,0,0,-4.70E-15,0.5
0.19583,-0.19583,0,0,-1.63E-15,0.5
0.2,-0.2,0,0,4.48E-30,0.5
0,0,0,0,500,1
4.17E-03,-4.17E-03,0,0,361.99,1
8.33E-03,-8.33E-03,0,0,241.47,1
1.25E-02,-1.25E-02,0,0,143.73,1
1.67E-02,-1.67E-02,0,0,78.025,1
2.08E-02,-2.08E-02,0,0,37.297,1
2.50E-02,-2.50E-02,0,0,15.165,1
2.92E-02,-2.92E-02,0,0,6.3548,1
3.33E-02,-3.33E-02,0,0,2.0244,1
3.75E-02,-3.75E-02,0,0,0.83228,1
4.17E-02,-4.17E-02,0,0,0.22124,1
4.58E-02,-4.58E-02,0,0,9.25E-02,1
5.00E-02,-5.00E-02,0,0,2.16E-02,1
5.42E-02,-5.42E-02,0,0,9.17E-03,1
5.83E-02,-5.83E-02,0,0,1.99E-03,1
6.25E-02,-6.25E-02,0,0,8.33E-04,1
6.67E-02,-6.67E-02,0,0,1.74E-04,1
7.08E-02,-7.08E-02,0,0,7.08E-05,1
7.50E-02,-7.50E-02,0,0,1.49E-05,1
